Level,Kernel,Params,LML,BIC,RMSE,R2,Optimized Kernel
2,L2: ((RQ) + MAT) + RBF,6,1410.9882267012708,-2780.529921728649,0.0009202234869309018,0.9983675468272722,"94.6**2 * RationalQuadratic(alpha=0.276, length_scale=19.7) + Matern(length_scale=402, nu=1.5) + RBF(length_scale=15.5) + WhiteKernel(noise_level=0.000718)"
2,L2: ((RQ) + MAT) + RQ,7,1406.7237913286303,-2765.0932957043856,0.0009399940567915859,0.998296648330286,"100**2 * RationalQuadratic(alpha=0.186, length_scale=24.1) + Matern(length_scale=5.03e+03, nu=1.5) + RationalQuadratic(alpha=0.186, length_scale=24.1) + WhiteKernel(noise_level=0.000844)"
2,L2: ((RQ) + MAT) + MAT,6,1410.8609345895807,-2780.2753375052685,0.0009248703764297552,0.9983510182712254,"100**2 * RationalQuadratic(alpha=0.384, length_scale=17.9) + Matern(length_scale=495, nu=1.5) + Matern(length_scale=495, nu=1.5) + WhiteKernel(noise_level=0.000703)"
2,L2: ((RQ) + MAT) * LIN,6,1411.5770574280564,-2781.70758318222,0.0009162501787584008,0.9983816134895502,"2.11**2 * RationalQuadratic(alpha=0.132, length_scale=29.4) + Matern(length_scale=590, nu=1.5) * DotProduct(sigma_0=83.9) + WhiteKernel(noise_level=0.000711)"
2,L2: ((RQ) + MAT) * RBF,6,1410.7914311118425,-2780.136330549792,0.0009229528786878671,0.9983578487224547,"100**2 * RationalQuadratic(alpha=0.352, length_scale=18.4) + Matern(length_scale=394, nu=1.5) * RBF(length_scale=89.6) + WhiteKernel(noise_level=0.000703)"
2,L2: ((RQ) * LIN) + RBF,6,1407.308407785103,-2773.1702838963133,0.0009361131246779935,0.9983106844737001,"0.0257**2 * RationalQuadratic(alpha=0.0533, length_scale=44.9) * DotProduct(sigma_0=1.12e+04) + RBF(length_scale=0.0575) + WhiteKernel(noise_level=0.000182)"
2,L2: ((RQ) * LIN) + RQ,7,1412.5365723219093,-2776.7188576909434,0.0009266975002703326,0.9983444965575644,"3.45**2 * RationalQuadratic(alpha=0.066, length_scale=40.4) * DotProduct(sigma_0=70.3) + RationalQuadratic(alpha=1e-05, length_scale=4.61) + WhiteKernel(noise_level=2.29e-09)"
2,L2: ((RQ) * LIN) + MAT,6,1407.3001937697504,-2773.153855865608,0.0009363577580149212,0.9983098014246707,"0.0257**2 * RationalQuadratic(alpha=0.0536, length_scale=44.8) * DotProduct(sigma_0=1.12e+04) + Matern(length_scale=0.0671, nu=1.5) + WhiteKernel(noise_level=0.000183)"
2,L2: ((RQ) * LIN) * LIN,6,1410.4473265047018,-2779.4481213355107,0.0009544630893532181,0.9982438064351608,"0.583**2 * RationalQuadratic(alpha=0.553, length_scale=14.9) * DotProduct(sigma_0=1.28) * DotProduct(sigma_0=1.28) + WhiteKernel(noise_level=0.000831)"
2,L2: ((RQ) * LIN) * RBF,6,1407.6504687643524,-2773.854405854812,0.0009301118263168465,0.9983322750042934,"3.67**2 * RationalQuadratic(alpha=0.0603, length_scale=41.8) * DotProduct(sigma_0=69.2) * RBF(length_scale=6.63e+03) + WhiteKernel(noise_level=0.000844)"
2,L2: ((RQ) + RBF) + RBF,6,1405.8532933316706,-2770.2600549894482,0.000927940164603984,0.9983400536526973,"77.7**2 * RationalQuadratic(alpha=0.173, length_scale=21.7) + RBF(length_scale=13.4) + RBF(length_scale=13.4) + WhiteKernel(noise_level=0.000829)"
2,L2: ((RQ) + RBF) + RQ,7,1408.0653615822216,-2767.776436211568,0.0009313001697446836,0.9983280107943142,"83.5**2 * RationalQuadratic(alpha=0.0941, length_scale=29.7) + RBF(length_scale=12.5) + RationalQuadratic(alpha=0.0941, length_scale=29.7) + WhiteKernel(noise_level=0.000831)"
